date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-29 11:13:12,MensueldeRennes,,0,1,0,"Avec sa victoire à #Rennes, Nathalie Appéré compte parmi les quelques socialistes dépositaires d’une offre susceptible de devenir une alternative au macronisme en 2022 [ANALYSE] #Municipales2020 @MensueldeRennes via @LeTelegramme",,@MensueldeRennes @LeTelegramme,#Rennes #Municipales2020 #Municipales2020,1277560744607916034,https://twitter.com/MensueldeRennes/status/1277560744607916034
2020-06-29 11:13:02,OlivierBitter,BFMTV,1,6,11,"#Buzyn #Griveaux #Villani Le RN #LREM Très, très bien ! Après avoir perdu Paris aux #Municipales2020, #Macron pose déjà les jalons pour perdre aussi l'Elysée !",,,#Buzyn #Griveaux #Villani #LREM #Municipales2020 #Municipales2020 #Macron,1277560704250318848,https://twitter.com/OlivierBitter/status/1277560704250318848
2020-06-29 11:12:45,ORA_03113,libe,0,0,1,"#Frankreich 'Die Partei der Nichtwähler' zieht zwar in kein Kommunalparlament ein, erzielt aber trotzdem landesweit mit 58,4% mit Abstand das beste Ergebnis! Einer Mehrheit der Französinnen und Franzosen ist es wohl egal, wer sie kommunal vertritt! #Municipales2020 ",,,#Frankreich #Municipales2020 #Municipales2020,1277560632867540995,https://twitter.com/ORA_03113/status/1277560632867540995
2020-06-29 11:12:45,PR83202924,,0,0,1,"#MondayMotivation #Bundestag #Wochenstart #Municipales2020 #sunmi #Mehrwertsteuer #Börse Start in die Woche #Montagmorgen",,,#MondayMotivation #Bundestag #Wochenstart #Municipales2020 #Municipales2020 #sunmi #Mehrwertsteuer #B #Montagmorgen,1277560632762654720,https://twitter.com/PR83202924/status/1277560632762654720
2020-06-29 11:12:13,ioutokintoumi,,0,1,2,"Apparement les rédactions des médias ont mis à jour leur carte de France ce matin #macronie #Municipales2020 #castaner #EdouardPhilippe #vagueverte #violencespolicieres #lallement #giletsjaunes #ecologie #PlusJamaisCa #plusjamaislrem #onnoublierapas #LeHavre #buzyn #LREM",,,#macronie #Municipales2020 #Municipales2020 #castaner #EdouardPhilippe #vagueverte #violencespolicieres #lallement #giletsjaunes #ecologie #PlusJamaisCa #plusjamaislrem #onnoublierapas #LeHavre #buzyn #LREM,1277560497768988674,https://twitter.com/ioutokintoumi/status/1277560497768988674
2020-06-29 11:12:06,j4rj4r_binks,,0,0,0,"Municipales2020 Résumé des auto-évaluations politiques ? - PS : victoire - EELV : victoire - LR : victoire - RN : victoire - LFI : contribution décisive à la victoire - LREM : objectifs atteints Conclusion : tout le monde a gagné !",,,,1277560469864288256,https://twitter.com/j4rj4r_binks/status/1277560469864288256
2020-06-29 11:11:55,Journaldelorne,,0,1,0,"#Municipales2020. ""Des lâches m'ont fait #AdolfHitler !"" #JeanLouisCarpentier ne décolère pas à #Argentan https://actu.fr/?p=34616930 via @actufr",,@actufr,#Municipales2020 #Municipales2020 #AdolfHitler #JeanLouisCarpentier #Argentan,1277560423429148674,https://twitter.com/Journaldelorne/status/1277560423429148674
2020-06-29 11:11:47,Fifita40,,1,1,0,"Record de l'abstention : à quand le vote obligatoire ?! @EmmanuelMacron @EPhilippePM #Municipales2020 #Abstention",,@EmmanuelMacron @EPhilippePM,#Municipales2020 #Municipales2020 #Abstention,1277560388456939522,https://twitter.com/Fifita40/status/1277560388456939522
2020-06-29 11:11:39,MartinGALLIC,,0,0,2,"#Municipales2020 Résumé des auto-évaluations politiques ? - PS : victoire - EELV : victoire - LR : victoire - RN : victoire - LFI : contribution décisive à la victoire - LREM : objectifs atteints Conclusion : tout le monde a gagné !",,,#Municipales2020 #Municipales2020,1277560356739702789,https://twitter.com/MartinGALLIC/status/1277560356739702789
2020-06-29 11:11:35,MargotMedkour,,0,6,6,"À #Nantes plus de 75% des électrices et électeurs ce sont abstenus. C’est le signe que le monde politique et ses tambouilles inspirent le rejet. Face à ça, les tenants des institutions semblent résignés, aveugles ou impuissants. #Municipales2020 ",,,#Nantes #Municipales2020 #Municipales2020,1277560341325627392,https://twitter.com/MargotMedkour/status/1277560341325627392
2020-06-29 11:11:15,pravda59700,,2,2,0,"Sur les ondes lilloises on annonce la démission de @ArnaudBOUSQUET . Direction @franceculture . #Municipales2020 #Lille",,@ArnaudBOUSQUET @franceculture,#Municipales2020 #Municipales2020 #Lille,1277560254646177793,https://twitter.com/pravda59700/status/1277560254646177793
